산이름,장소유형,장소명,카테고리,주소,전화번호,산으로부터거리(m),도보시간(분),장소위도,장소경도,카카오지도URL,블로그언급수,맛집점수
가평 강씨봉,음식점,동기간,"음식점 > 한식 > 육류,고기 > 닭요리",경기 가평군 가평읍 보납로 459-158,,1265,17,37.85528563470407,127.54907035504516,http://place.map.kakao.com/16963038,3549,70.5
달마산,음식점,엄마국밥,음식점 > 한식 > 국밥,전남 해남군 현산면 현산북평로 100,061-535-2202,1095,15,34.45855695337911,126.55352159192809,http://place.map.kakao.com/531937692,112,70.5
사량도 지리산,음식점,금평반점,음식점 > 중식 > 중국요리,경남 통영시 사량면 진촌1길 36,055-642-6024,1082,14,34.844603028372,128.222787197443,http://place.map.kakao.com/26515216,111,70.5
간월산,카페,커피케이,음식점 > 카페 > 커피전문점,울산 울주군 상북면 송락골길 2,052-258-0828,1356,18,35.5944084083754,129.097546605768,http://place.map.kakao.com/880386180,111,70.5
북한산,카페,북한산카페6276,음식점 > 카페 > 커피전문점,경기 고양시 덕양구 북한산로 627-6,0507-1348-6899,2855,38,37.68002806172275,126.9590251812907,http://place.map.kakao.com/1301741065,3479,70.4
화성 화산,음식점,또바기,음식점 > 한식,경기 화성시 효행구 정남면 세자로 301,070-8211-3317,925,12,37.1938894021422,126.979176697976,http://place.map.kakao.com/587857766,172,70.4
추월산,음식점,대가,"음식점 > 한식 > 해물,생선",전남 담양군 고서면 가사문학로 619,061-383-7050,2877,38,35.2025182644845,126.989655477013,http://place.map.kakao.com/11001708,3402,70.3
백운산(광양),음식점,재첩잡는선장집,"음식점 > 한식 > 해물,생선",경남 하동군 하동읍 섬진강대로 2483,,320,4,35.0866226508909,127.721724539822,http://place.map.kakao.com/10725794,337,70.3
백암산,음식점,내장산달구지,음식점 > 한식 > 국밥,전북특별자치도 정읍시 내장산로 591,063-532-9955,574,8,35.51470813661629,126.90945385408413,http://place.map.kakao.com/1679414298,33,70.3
안성 칠현산,음식점,안성추어탕,"음식점 > 한식 > 해물,생선 > 추어",경기 안성시 삼죽면 서동대로 6355,031-673-2328,2904,39,37.0595413402686,127.367732430122,http://place.map.kakao.com/741671342,3361,70.3
백운산(광양),음식점,대가,음식점 > 한식 > 냉면,경남 하동군 하동읍 중앙3길 6-4,055-884-0084,2913,39,35.07073014038191,127.74599801812433,http://place.map.kakao.com/8303857,3402,70.3
천관산,음식점,강산해갈비찜,"음식점 > 한식 > 육류,고기 > 갈비",전남 장흥군 장흥읍 동교로 71-13,061-862-7775,2784,37,34.6863896596845,126.902460967347,http://place.map.kakao.com/2144278599,3273,70.2
천마산,카페,가리,음식점 > 카페,경기 남양주시 조안면 북한강로 1003,031-576-8855,1253,17,37.605661193657056,127.341219897044,http://place.map.kakao.com/17118262,520,70.2
통영 벽방산,음식점,바닷가에햇살한스푼,음식점 > 양식 > 이탈리안,경남 고성군 고성읍 신월로 157,0507-1404-6160,2002,27,34.945773104164275,128.33347982787387,http://place.map.kakao.com/9012661,3173,70.0
천마산(전남),음식점,취중닭발 신대점,"음식점 > 한식 > 육류,고기 > 닭요리",전남 순천시 해룡면 송산2길 89,061-723-8782,1692,23,34.92775061501822,127.54872437429779,http://place.map.kakao.com/22282473,629,70.0
화성 화산,음식점,만석한식부페,음식점 > 뷔페 > 한식뷔페,경기 화성시 효행구 정남면 만년로 645,,1131,15,37.1781680276939,126.98700952912,http://place.map.kakao.com/16177964,3189,70.0
진악산,음식점,친절한서현씨쌀베이킹,"음식점 > 간식 > 제과,베이커리",충남 금산군 금산읍 비범로 50,010-2012-3507,201,3,36.1068811032552,127.492293564596,http://place.map.kakao.com/119031903,9,70.0
통영 벽방산,음식점,황포냉면 고성점,음식점 > 한식 > 냉면,경남 고성군 고성읍 남해안대로 2403,055-672-7972,1912,25,34.9592862053816,128.337839206067,http://place.map.kakao.com/1028719168,628,70.0
가지산,음식점,가지산손두부집,음식점 > 한식 > 두부전문점,울산 울주군 상북면 덕현석리길 24,052-254-1143,1688,23,35.62183405358079,129.04898102613402,http://place.map.kakao.com/10117489,629,70.0
통영 벽방산,음식점,유씨네본가 누룽지삼계탕 경남고성점,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",경남 고성군 고성읍 남해안대로 2531,0502-5553-3484,2909,39,34.96956882012,128.334677816937,http://place.map.kakao.com/670839669,3136,70.0
통영 벽방산,음식점,계림새우나라,"음식점 > 한식 > 해물,생선",경남 고성군 고성읍 신월로 31,055-672-4616,2036,27,34.95394205378861,128.3333603511909,http://place.map.kakao.com/27060322,3177,70.0
청계산,음식점,옛골산장,"음식점 > 한식 > 육류,고기",경기 성남시 수정구 청계산로 440-5,031-723-6562,1945,26,37.42990404287923,127.07109523396544,http://place.map.kakao.com/27300400,613,69.9
광교산,음식점,골목대장,음식점 > 한식,경기 수원시 장안구 경수대로775번길 68,,117,2,37.2892033886108,127.017862173296,http://place.map.kakao.com/1488175951,1511,69.8
사량도 지리산,음식점,자연산횟집,"음식점 > 한식 > 해물,생선 > 회",경남 통영시 사량면 대항길 64-18,055-641-7588,1618,22,34.8517133831855,128.210471634428,http://place.map.kakao.com/8053843,597,69.8
월악산,음식점,명산아래가든,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",충북 제천시 한수면 미륵송계로 1659,043-651-1944,2883,38,36.8879816833805,128.078776710101,http://place.map.kakao.com/1478804183,3037,69.8
봉화 문수산,음식점,춘양빵집,"음식점 > 간식 > 제과,베이커리",경북 봉화군 춘양면 의양로 74,070-7303-2937,1432,19,36.93513500613652,128.912711081168,http://place.map.kakao.com/1518215938,93,69.7
광교산,음식점,카스,음식점 > 술집,경기 수원시 장안구 팔달로279번길 3,,177,2,37.29002373029925,127.01500353139842,http://place.map.kakao.com/2096281948,1486,69.7
도봉산,음식점,느티나무가든,음식점 > 한식,서울 도봉구 도봉로169길 346-6,02-954-5458,1658,22,37.6770659055379,127.027695586683,http://place.map.kakao.com/16376916,2983,69.7
발왕산,음식점,모나용평 더샬레레스토랑,음식점 > 한식,강원특별자치도 평창군 대관령면 올림픽로 715,033-330-7133,1959,26,37.6457546755299,128.680564693826,http://place.map.kakao.com/2100466230,2892,69.6
가평 강씨봉,카페,이디야커피 가평점,음식점 > 카페 > 커피전문점 > 이디야커피,경기 가평군 가평읍 가화로 104,031-582-0049,2973,40,37.82893246686405,127.51427026402081,http://place.map.kakao.com/21248100,2839,69.5
화성 화산,음식점,포차타임,음식점 > 술집 > 실내포장마차,경기 화성시 효행구 정남면 세자로 278,,723,10,37.1918811620787,126.980390258015,http://place.map.kakao.com/2118495577,899,69.5
팔공산,음식점,가원식당,음식점 > 한식,대구 동구 팔공산로199길 6-3,053-981-6624,534,7,35.9906384781805,128.696795497511,http://place.map.kakao.com/535640027,140,69.5
천등산,음식점,운장산가든,음식점 > 한식,전북특별자치도 진안군 부귀면 모래재로 743-10,063-433-1842,988,13,35.8152192737391,127.317481740736,http://place.map.kakao.com/16198065,141,69.5
팔공산,음식점,숲속에작은쉼터,음식점 > 한식,대구 동구 팔공산로168길 20,,972,13,35.99130073893068,128.680093084711,http://place.map.kakao.com/21319570,4441,69.5
천마산(전남),카페,달리는커피 순천신대점,음식점 > 카페 > 커피전문점 > 달리는커피,전남 순천시 해룡면 신대로 96,061-723-7708,1923,26,34.93077682140212,127.54966061552416,http://place.map.kakao.com/573360630,560,69.5
진악산,카페,청춘이당,음식점 > 카페 > 테마카페 > 디저트카페,충남 금산군 금산읍 인삼약초로 45,,713,10,36.101789079258445,127.49801201628674,http://place.map.kakao.com/1271079137,890,69.5
용봉산,카페,감성커피 홍성대학로점,음식점 > 카페 > 커피전문점 > 감성커피,충남 홍성군 홍성읍 대학길 43,0507-1366-0819,2596,35,36.5780630617697,126.6589276336,http://place.map.kakao.com/218979854,2743,69.4
검단산,카페,나인블럭 뷰팔당점,음식점 > 카페 > 커피전문점 > 나인블럭,경기 남양주시 와부읍 다산로 56,031-577-8809,2866,38,37.53994398646011,127.2551641703754,http://place.map.kakao.com/506984546,2756,69.4
천관산,음식점,장흥곰탕,음식점 > 한식 > 곰탕,전남 장흥군 장흥읍 장흥대로 3629-5,061-864-5533,2683,36,34.68729121056312,126.90261269141965,http://place.map.kakao.com/846064592,2676,69.3
진악산,음식점,삼삼분식,음식점 > 한식,충남 금산군 금산읍 비범로 27,041-752-8855,373,5,36.1051987115212,127.491375741242,http://place.map.kakao.com/2096325171,42,69.3
진악산,음식점,한양식당,음식점 > 한식,충남 금산군 금산읍 후곤천길 93,041-754-6464,352,5,36.1049171050609,127.492139159327,http://place.map.kakao.com/10938444,42,69.3
진악산,카페,메가MGC커피 금산점,음식점 > 카페 > 커피전문점 > 메가MGC커피,충남 금산군 금산읍 비단로 325,041-751-3355,709,9,36.11004818761058,127.48716335275842,http://place.map.kakao.com/374899623,26,69.3
가야산(서산),카페,파스쿠찌 서산휴게소서울방향점,음식점 > 카페 > 커피전문점 > 파스쿠찌,충남 서산시 해미면 서해안고속도로 242,041-688-7714,1259,17,36.7343416952178,126.566241285741,http://place.map.kakao.com/1059670,82,69.2
가평 강씨봉,음식점,소나무집송어회,"음식점 > 한식 > 해물,생선 > 회",경기 가평군 가평읍 자라목2길 13-12,031-581-6109,2550,34,37.8304990634466,127.519232569721,http://place.map.kakao.com/2119802697,2655,69.2
간월산,카페,카페초원,음식점 > 카페 > 테마카페,울산 울주군 상북면 도동신리로 49-1,070-7757-9244,1076,14,35.5924676457187,129.095360151078,http://place.map.kakao.com/1339875916,82,69.2
간월산,카페,나인힐 베이커리 카페,음식점 > 카페 > 테마카페 > 디저트카페,울산 울주군 상북면 등억천전로 106,052-264-1356,2451,33,35.562367430960244,129.09788879041622,http://place.map.kakao.com/760992821,2642,69.2
북한산,음식점,포시즌어데이,음식점 > 양식 > 이탈리안,경기 고양시 덕양구 북한산로 451-9,02-355-5550,2380,32,37.66602719567175,126.9527515188101,http://place.map.kakao.com/1844731170,2574,69.1
진악산,음식점,냉면사관학교 금산점,음식점 > 한식 > 냉면,충남 금산군 금산읍 비호로 97,,178,2,36.10622487322313,127.49320680286753,http://place.map.kakao.com/2129242335,255,69.1
천마산,카페,공방카페,음식점 > 카페 > 전통찻집,경기 양평군 서종면 북한강로 781-13,,1036,14,37.6073590779266,127.347863054976,http://place.map.kakao.com/278093556,2547,69.1
남해 금산,음식점,신흥떡집,"음식점 > 간식 > 떡,한과",경남 남해군 이동면 무림로 53,055-862-5068,1167,16,34.8010510868014,127.953350966332,http://place.map.kakao.com/9199651,81,69.1
주왕산,음식점,삼보식당,음식점 > 한식,경북 청송군 주왕산면 공원길 180,054-873-2905,254,3,36.3928008155985,129.144584343243,http://place.map.kakao.com/25933401,40,69.1
거제 가라산,음식점,바다양푼이동태탕 거제동부점,"음식점 > 한식 > 해물,생선 > 바다양푼이동태탕",경남 거제시 동부면 거제남서로 3180,055-636-0531,998,13,34.83103340861153,128.60339879919147,http://place.map.kakao.com/425296668,25,69.1
광교산,카페,안성다방,음식점 > 카페 > 다방,경기 수원시 장안구 경수대로775번길 68,031-252-0111,117,2,37.2892015863742,127.017863300603,http://place.map.kakao.com/10064074,7,69.0
금원산,음식점,농월정돼지국밥,음식점 > 한식 > 국밥,경남 함양군 안의면 농월정길 8-5,055-963-5889,495,7,35.6231369282665,127.78142984466,http://place.map.kakao.com/2108336041,7,69.0
진악산,음식점,호식이두마리치킨 금산점,음식점 > 치킨 > 호식이두마리치킨,충남 금산군 금산읍 금산로 1500,041-754-7922,396,5,36.10737628340045,127.48999329315143,http://place.map.kakao.com/10982125,7,69.0
팔공산,음식점,별천지노래방식당,음식점 > 한식,대구 동구 팔공산로199길 3,,567,8,35.9890281715885,128.696605774481,http://place.map.kakao.com/991412568,4015,69.0
팔공산,음식점,키친901,음식점 > 양식 > 이탈리안,대구 동구 팔공산로 1121,053-781-9400,85,1,35.9916409347849,128.690128534283,http://place.map.kakao.com/310818379,7,69.0
진악산,음식점,구면돼지,"음식점 > 한식 > 육류,고기",충남 금산군 금산읍 비호로 88,041-752-6677,236,3,36.10622410334574,127.49229834970464,http://place.map.kakao.com/1978327408,7,69.0
화성 화산,음식점,오리연가,음식점 > 한식,경기 화성시 효행구 정남면 세자로303번길 7,031-352-5204,923,12,37.1938929052317,126.978609034499,http://place.map.kakao.com/354297987,126,69.0
천마산,음식점,남촌해장국,음식점 > 한식 > 해장국,경기 양평군 서종면 무내미길 40,,439,6,37.6027520283273,127.352521994124,http://place.map.kakao.com/593060580,243,68.9
진악산,카페,올리브나무,음식점 > 카페,충남 금산군 금산읍 건삼전3길 2,041-751-7400,700,9,36.102059914902085,127.49046889434885,http://place.map.kakao.com/766482820,123,68.9
천마산(전남),카페,카페게이트 순천신대점,음식점 > 카페 > 커피전문점 > 카페게이트,전남 순천시 해룡면 향매로 59,061-902-8459,1952,26,34.9346578110363,127.546140177446,http://place.map.kakao.com/1585634158,484,68.9
봉화 문수산,음식점,나돼지,"음식점 > 한식 > 육류,고기",경북 봉화군 춘양면 학산길 35-22,,1314,18,36.939968585818995,128.91019430859959,http://place.map.kakao.com/1009451409,2433,68.9
검단산,음식점,장다리한우마당,"음식점 > 한식 > 육류,고기",경기 하남시 아랫배알미길 70,031-794-3023,1175,16,37.5271500878194,127.271209974492,http://place.map.kakao.com/10725596,75,68.8
통영 벽방산,음식점,일품새우,"음식점 > 한식 > 해물,생선",경남 고성군 고성읍 신월로 63-23,055-673-5588,2057,27,34.9524077502174,128.332729039934,http://place.map.kakao.com/1519397538,2421,68.8
남해 금산,카페,시간의흐름,음식점 > 카페,경남 남해군 이동면 무림로 71,0502-5553-8937,1026,14,34.8000609068809,127.954331762556,http://place.map.kakao.com/1657312019,380,68.8
천마산,카페,두물미오,음식점 > 카페 > 테마카페 > 갤러리카페,경기 양평군 서종면 북한강로 811,031-771-7188,1253,17,37.6097616161022,127.349215184697,http://place.map.kakao.com/910620721,75,68.8
북한산,음식점,북한산효자가든,"음식점 > 한식 > 육류,고기 > 닭요리",경기 고양시 덕양구 북한산로 364-29,02-3157-7757,2674,36,37.6575155269462,126.9482237893342,http://place.map.kakao.com/639883377,2420,68.8
두륜산,음식점,명성가든,"음식점 > 한식 > 육류,고기 > 닭요리",전남 해남군 삼산면 고산로 549-7,061-533-6088,1994,27,34.518299392926,126.60978506279,http://place.map.kakao.com/10332487,475,68.8
봉화 문수산,카페,우정다방,음식점 > 카페 > 다방,경북 봉화군 춘양면 의양로 71,054-674-3301,1387,18,36.935320986911805,128.9131904729414,http://place.map.kakao.com/11479104,73,68.7
발왕산,음식점,모나용평 하반,음식점 > 뷔페,강원특별자치도 평창군 대관령면 올림픽로 715,033-330-7531,1997,27,37.6449672541954,128.683347638208,http://place.map.kakao.com/201998286,2326,68.7
천마산(전남),카페,카페프리헷 순천신대점,음식점 > 카페 > 테마카페 > 무인카페 > 카페프리헷,전남 순천시 해룡면 신대로 97,0507-1464-9800,1740,23,34.9314965039403,127.546578916362,http://place.map.kakao.com/84972191,452,68.6
봉화 문수산,음식점,일품양평해장국 봉화춘양점,음식점 > 한식 > 해장국 > 일품양평해장국,경북 봉화군 춘양면 의양로2길 28-1,054-672-6722,1296,17,36.9361836218609,128.913555478186,http://place.map.kakao.com/2093574951,71,68.6
가야산(서산),음식점,산수파김치장어,"음식점 > 한식 > 해물,생선 > 장어",충남 서산시 해미면 산수로 6,041-688-2231,2447,33,36.7024187061447,126.565749277661,http://place.map.kakao.com/10439450,2259,68.5
경주 남산,음식점,삼릉소머리곰탕,음식점 > 한식 > 곰탕,경북 경주시 내남면 포석로 530,054-743-5883,2690,36,35.78848905339084,129.20510899162346,http://place.map.kakao.com/1251242262,2213,68.5
광교산,카페,무노하우스,음식점 > 카페 > 테마카페 > 디저트카페,경기 수원시 팔달구 수원천로 373,0502-5553-3751,356,5,37.2868013116991,127.017243627108,http://place.map.kakao.com/114229154,6,68.5
석병산,음식점,반천송어횟집,"음식점 > 한식 > 해물,생선 > 회",강원특별자치도 정선군 임계면 반천고양로 1175,033-562-7427,2074,28,37.4439413855251,128.80028008458,http://place.map.kakao.com/21344576,2233,68.5
남해 금산,카페,카페96,음식점 > 카페 > 테마카페 > 디저트카페,경남 남해군 이동면 무림로 96,,788,11,34.79866584570052,127.95636560680488,http://place.map.kakao.com/1136929703,683,68.4
거제 가라산,음식점,곤지암할매소머리국밥 거제면점,음식점 > 한식 > 국밥,경남 거제시 거제면 읍내로 59,055-632-3504,2170,29,34.8496596633906,128.589506927523,http://place.map.kakao.com/141076551,2210,68.4
화성 화산,카페,천씨씨커피 수원과학대점,음식점 > 카페 > 커피전문점 > 천씨씨커피,경기 화성시 효행구 정남면 세자로 297,031-352-1040,882,12,37.1934812737883,126.979455008232,http://place.map.kakao.com/121031798,21,68.4
삼봉산,음식점,일품양평해장국 함양유림점,음식점 > 한식 > 해장국 > 일품양평해장국,경남 함양군 유림면 천왕봉로 2872,055-964-8080,1448,19,35.4662551978009,127.79173148364,http://place.map.kakao.com/1906383096,66,68.3
축령산,카페,호명카페,음식점 > 카페,경기 가평군 청평면 호명리길 185,,400,5,37.7305871946643,127.469080699476,http://place.map.kakao.com/864191965,1060,68.3
진악산,카페,커피하늘,음식점 > 카페,충남 금산군 금산읍 금산천길 98,,944,13,36.09957554762778,127.49062446735631,http://place.map.kakao.com/756027451,3410,68.3
용봉산,음식점,예향얼크니손칼국수 홍성점,음식점 > 한식 > 국수 > 칼국수,충남 홍성군 홍성읍 내포로 222,041-633-3691,1706,23,36.59196889729058,126.64636386737008,http://place.map.kakao.com/1014959851,423,68.3
팔공산,음식점,성공식당,"음식점 > 한식 > 육류,고기 > 닭요리",대구 동구 팔공산로199길 12,053-982-7634,510,7,35.98921854404304,128.69601553957537,http://place.map.kakao.com/9852963,20,68.2
천마산,카페,라조리오,음식점 > 카페 > 테마카페 > 디저트카페,경기 남양주시 화도읍 북한강로 1074,070-8657-4137,1621,22,37.6113588386543,127.343148653476,http://place.map.kakao.com/1267323641,413,68.2
진악산,카페,아임일리터 금산IC점,음식점 > 카페 > 아임일리터,충남 금산군 금산읍 인삼로 178,070-8885-0408,831,11,36.1022229351589,127.500948737403,http://place.map.kakao.com/509892651,20,68.2
천마산(전남),음식점,달빛에구운고등어 순천신대점,"음식점 > 한식 > 해물,생선 > 달빛에구운고등어",전남 순천시 해룡면 상성길 165,061-724-2737,1597,21,34.9342243509601,127.540270570221,http://place.map.kakao.com/402138887,408,68.1
두륜산,음식점,해남생갈비,음식점 > 한식,전남 해남군 삼산면 매정길 61,0503-7153-0127,776,10,34.50500876992861,126.61101976477498,http://place.map.kakao.com/2002993494,101,68.1
가야산(서산),음식점,맛이나식당,음식점 > 한식,충남 서산시 해미면 서문2길 7,041-688-1258,2619,35,36.71363500829586,126.54525528003595,http://place.map.kakao.com/1102463319,57177,68.0
달마산,음식점,현산식당,"음식점 > 한식 > 해물,생선 > 회",전남 해남군 현산면 현산북평로 87,061-532-7540,959,13,34.4597089895711,126.55400955443,http://place.map.kakao.com/21400073,19,68.0
추월산,카페,한옥에서좋은날,음식점 > 카페,전남 담양군 창평면 돌담길 88-9,061-382-3832,2063,28,35.237581353547306,127.02026948508704,http://place.map.kakao.com/1785223552,407287,68.0
사량도 지리산,음식점,섬,음식점 > 한식,경남 통영시 사량면 상도일주로 1572,,1258,17,34.8448819218255,128.218888292148,http://place.map.kakao.com/1702207898,34118,68.0
검단산,카페,앳더팔당 키친&베이커리,음식점 > 카페,경기 남양주시 조안면 다산로 452,0502-5553-3358,2156,29,37.52810809784444,127.28896154242031,http://place.map.kakao.com/1145055175,10306,68.0
도봉산,음식점,하늘아래작은마을,음식점 > 한식,서울 강북구 삼양로181길 253,02-998-5561,2057,27,37.674224679779385,127.00450580223782,http://place.map.kakao.com/17809096,45353,68.0
가지산,음식점,경주이모맛집,음식점 > 한식,울산 울주군 상북면 석남로 26,,1130,15,35.6077111843362,129.025798536874,http://place.map.kakao.com/488100405,32353,68.0
화성 화산,음식점,오병이어공장 식사전문셀프식당,음식점 > 한식,경기 화성시 효행구 정남면 괘랑1길 7,,1016,14,37.1802873752857,126.98762627586,http://place.map.kakao.com/23803997,183944,68.0
금원산,음식점,이름없는술집,음식점 > 술집,경남 함양군 안의면 종로길 5,010-8951-0847,2728,36,35.6282322154599,127.812557560375,http://place.map.kakao.com/487167426,350077,68.0
화성 화산,카페,이든하우스카페,음식점 > 카페,경기 화성시 효행구 정남면 보통내길 220-28,,1307,17,37.19543820352356,126.97022977417666,http://place.map.kakao.com/786737555,19445,68.0
도봉산,음식점,오늘야채오늘도시락,음식점 > 도시락,서울 도봉구 도봉산4가길 5-5,02-956-5104,2159,29,37.6879058718838,127.041943967935,http://place.map.kakao.com/897429825,118917,68.0
용봉산,카페,함께하는무인카페,음식점 > 카페,충남 홍성군 홍성읍 내포로156번길 78,010-4411-0737,2593,35,36.5975950965789,126.653553291793,http://place.map.kakao.com/1287389485,44081,68.0
화성 화산,카페,카페타임,음식점 > 카페,경기 화성시 효행구 정남면 세자로 317,,1084,14,37.19533196229011,126.97903325713773,http://place.map.kakao.com/966876986,30831,68.0
천등산,음식점,진안마이산묵밥,음식점 > 한식,전북특별자치도 진안군 부귀면 모래재로 572,063-432-8259,2169,29,35.828711344136174,127.31256638611299,http://place.map.kakao.com/1861409275,11924,68.0
용봉산,음식점,이우철한방누룽지삼계탕,음식점 > 한식,충남 홍성군 구항면 구항길 52-16,010-5500-0039,2280,30,36.5880134326385,126.605747277167,http://place.map.kakao.com/1411781879,11517,68.0
용봉산,카페,오늘카페,음식점 > 카페,충남 홍성군 홍성읍 월산로54번길 29,0502-5551-7005,2438,33,36.6008504863077,126.646960381845,http://place.map.kakao.com/2013397377,12234,68.0
청계산,음식점,매일한식,음식점 > 한식,경기 성남시 수정구 금토로80번길 11,010-9168-4657,2583,34,37.4061230389687,127.085353945818,http://place.map.kakao.com/1475154167,306246,68.0
모악산,음식점,엄마분식그리고커피,음식점 > 분식,전북특별자치도 김제시 금산면 모악로 464,063-542-1053,2885,38,35.7184025964642,127.041162364137,http://place.map.kakao.com/1225972455,33099,68.0
용문산,음식점,용문산천년짬뽕,음식점 > 중식,경기 양평군 용문면 용문산로 404,031-773-8893,1516,20,37.530627388494146,127.60099171910306,http://place.map.kakao.com/179741275,2014,68.0
용문산,음식점,마당곤드레밥,음식점 > 한식,경기 양평군 용문면 용문산로 239,031-775-0311,2728,36,37.5178786221354,127.600768423434,http://place.map.kakao.com/11891927,19715,68.0
계룡산,음식점,밥꽃하나피었네,음식점 > 한식,충남 공주시 계룡면 신원사로 502,041-855-0696,2877,38,36.3325274176275,127.177421973235,http://place.map.kakao.com/26646193,44965,68.0
통영 벽방산,카페,카페공룡구역,음식점 > 카페,경남 고성군 고성읍 남해안대로 2523,055-674-8204,2890,39,34.9689388933275,128.334096052291,http://place.map.kakao.com/1432827583,9721,67.9
천마산,음식점,정원가든,음식점 > 한식,경기 양평군 서종면 북한강로 771,031-773-6076,871,12,37.6061106799986,127.348959159106,http://place.map.kakao.com/8534246,96,67.9
봉화 문수산,카페,금호다방,음식점 > 카페 > 다방,경북 봉화군 춘양면 의양로 44,054-672-3249,1178,16,36.9376996878314,128.91362594559877,http://place.map.kakao.com/12881955,60,67.9
용문산,음식점,용문산 송림,음식점 > 한식,경기 양평군 용문면 용문산로 650,031-773-4165,830,11,37.5459609773237,127.582719926764,http://place.map.kakao.com/701975933,96,67.9
속리산,음식점,세심정,음식점 > 한식,충북 보은군 속리산면 법주사로 662,043-543-2426,1480,20,36.54808422259195,127.85326962148609,http://place.map.kakao.com/9835076,303,67.8
용문산,음식점,민우네집,음식점 > 한식,경기 양평군 용문면 조계골길 72,031-771-7612,988,13,37.5490285914217,127.585501568717,http://place.map.kakao.com/10403818,95,67.8
가야산(서산),음식점,해미칼국수,음식점 > 한식 > 국수 > 칼국수,충남 서산시 해미면 읍성마을3길 51,041-688-0083,2590,35,36.7102937240317,126.548111038696,http://place.map.kakao.com/16657231,1923,67.8
월출산,음식점,월출산민물장어,"음식점 > 한식 > 해물,생선 > 장어",전남 영암군 영암읍 천황사로 277,061-472-4466,2361,31,34.77882567705191,126.72333223115267,http://place.map.kakao.com/9332243,1910,67.8
진악산,음식점,꽃마차,음식점 > 술집,충남 금산군 금산읍 비호로 93,041-751-3736,185,2,36.1063785397832,127.492875701633,http://place.map.kakao.com/387899110,29,67.8
천마산,음식점,조은마포갈비,"음식점 > 한식 > 육류,고기 > 갈비",경기 양평군 서종면 북한강로 748,031-771-6446,607,8,37.6039651481843,127.350271852999,http://place.map.kakao.com/1243217335,18,67.8
청계산,음식점,행복한소풍,음식점 > 한식 > 한정식,경기 성남시 수정구 달래내로 407,0507-1396-3425,1972,26,37.4298658433338,127.07168610421056,http://place.map.kakao.com/651113864,375,67.8
추월산,음식점,전통창평국밥,음식점 > 한식 > 국밥,전남 담양군 창평면 사동길 8-1,061-381-8253,2067,28,35.2385755330487,127.013943818155,http://place.map.kakao.com/11449462,1898,67.8
간월산,음식점,언양불고기 한마당한우촌,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",울산 울주군 언양읍 웃방천5길 10,052-262-2047,2438,33,35.56854043811673,129.11019681855007,http://place.map.kakao.com/18132303,1874,67.7
용문산,음식점,강원수제감자떡,음식점 > 분식,경기 양평군 용문면 용문산로 648,,815,11,37.545877380435776,127.58286298588223,http://place.map.kakao.com/315474547,2918,67.7
검단산,음식점,면포도궁 팔당본점,음식점 > 간식 > 도넛,경기 남양주시 와부읍 다산로 50,031-521-0908,2943,39,37.54051277092304,127.25462864386012,http://place.map.kakao.com/2003648088,1868,67.7
운길산,음식점,노을쉼터,음식점 > 분식,경기 남양주시 와부읍 고래산로 239-8,031-521-2171,1423,19,37.6013484462106,127.285833716989,http://place.map.kakao.com/1009042567,296,67.7
축령산,음식점,전주식당,음식점 > 한식,경기 가평군 설악면 유명로 2426,031-584-0066,2936,39,37.71470815662,127.441188408734,http://place.map.kakao.com/16303987,9127,67.6
북한산,음식점,북한산닭명가,"음식점 > 한식 > 육류,고기 > 닭요리",서울 은평구 대서문길 31,02-387-1178,2626,35,37.656220234721324,126.9489579088361,http://place.map.kakao.com/438774362,1800,67.6
계룡산,음식점,전주식당,음식점 > 한식,충남 공주시 반포면 동학사1로 303,041-825-0686,2967,40,36.35701031544383,127.23506939091813,http://place.map.kakao.com/12882926,9127,67.6
수락산,카페,카페소유,음식점 > 카페 > 테마카페 > 디저트카페,경기 남양주시 순화궁로 729-11,031-571-2286,2299,31,37.6884197759744,127.107017024636,http://place.map.kakao.com/571477499,1823,67.6
청계산,음식점,조가네갑오징어 청계산점,"음식점 > 한식 > 해물,생선",경기 성남시 수정구 청계산로 440-4,031-753-0592,1940,26,37.4299870916922,127.070836578705,http://place.map.kakao.com/2039281246,358,67.6
대둔산,음식점,산으로,음식점 > 한식,전북특별자치도 완주군 운주면 대둔산로 2266,063-263-5059,1700,23,36.1195833128277,127.333702385305,http://place.map.kakao.com/11507097,1824,67.6
추월산,카페,유,음식점 > 카페,전남 담양군 고서면 가사문학로 617,061-381-1101,2895,39,35.2025903429929,126.989312846429,http://place.map.kakao.com/1640067824,8982,67.5
영축산,카페,카페192,음식점 > 카페,경남 양산시 하북면 지산로 192-1,055-372-5858,1396,19,35.4983210784401,129.065848310648,http://place.map.kakao.com/29109193,280,67.5
가야산(서산),카페,탐앤탐스 서산휴게소 서울방향점,음식점 > 카페 > 커피전문점 > 탐앤탐스,충남 서산시 해미면 서해안고속도로 242,041-688-7714,1256,17,36.73427463048104,126.56613642484348,http://place.map.kakao.com/27545224,54,67.4
